label,fenci
正常,/wh who how owr wri rit ite tes esw swi wik iki kip ipe ped edi dia ia_ a_f _fn fn2 n2/
正常,/wa war art rti tim ime me_ e_r _ra rap ape pe/
正常,/ad adv dva van anc nce ced ed_ d_c _co com omm mme men ent nt_ t_s _sy sys yst ste tem em/ m/i /in ind nde dex ex. x.p .ph php hp? p?a ?ac acs cs_ s_p _pa pat ath th= h=@ =@r @rf rfi fiu iur url rl? l?a ?ac acs cs_ s_p _pa pat ath th= h=@ =@r @rf rfi fiu iur url rl?
异常,/os oss ssi sig ige gen eno no_ o_m _mo mod odu dul ule les es/ s/o /os oss ssi sig ige gen eno no- o-c -ca cat ata tal alo log ogo go/ o/x /xa xax ax/ x/o /os oss ssi sig ige gen eno no/ o/c /ca cat ata tal alo log ogo go/ o/c /co com omm mmo mon on. n.p .ph php hp? p?o ?os oss ssi sig ige gen eno no= o=X =XX XXp Xpa pat ath thX hXX XX?
正常,/99 990 903 03y 3yi yin in/
正常,/gr gra ray ayl yli lin ine nes es/
正常,/xb xbo box ox- x-d -dy dyn yna nas ast sty ty  y w  wa war arr rri rio ior ors rs  s 5  5  5 p  pa pal al  l m  mu mul ult lti ti2 i2  2 f  fr fre re  e g  ge ger er  r f  fu ful ull lld ldv dvd vd/
异常,/he hel elp lp. p.p .ph php hp? p?q ?q= q=' ='r 'rm rm\ m\x \x0 x09 09q 9q7 q77 779 792 922 221 217 174 74\ 4\x \x0 x09 09#
异常,"<<S <SC SCR CRI RIP IPT PT> T>a >al ale ler ert rt( t("" (""X ""XS XSS SS"" S"") ""); );/ ;// //< /<< <</ </S /SC SCR CRI RIP IPT PT>"
异常,/ad adm dmi min in/ n/c /co com omm mmo mon on/ n/s /sc scr cri rip ipt pt. t.j .js js. s.p .ph php
异常,/.. ..\ .\. \.. ..\ .\. \.. ..\ .\. \.. ..\ .\. \.. ..\ .\. \.. ..\ .\. \.. ..\ .\. \.. ..\ .\. \.. ..\ .\. \.. ..\ .\b \bo boo oot ot. t.i .in ini
异常,/vi vie iew ews ws/ s/p /pr pri rin int nt/ t/p /pr pri rin int ntb tba bar ar. r.p .ph php hp? p?v ?vi vie iew ews ws_ s_p _pa pat ath th= h=X =XX XXp Xpa pat ath thX hXX
异常,"/by byr yrg rg3 g33 33f 3fw fw. w.p .pl pl? l?< ?<m <me met eta ta  a h  ht htt ttp tp- p-e -eq equ qui uiv iv= v=s =se set et- t-c -co coo ook oki kie ie  e c  co con ont nte ten ent nt= t="" =""t ""te tes est ste tex exu xuu uu= u=5 =53 534 340 40"" 0"">"
正常,/ja jav ava vas asc scr cri rip ipt pt/ t/x /xs xsl slt lt. t.j .ja jar
正常,/ko kom omp mpj pju jut ute ter ern rna naj aja ja_ a_j _je jev evo vol olj lju juc uci cij ija ja/
正常,/se ser erv rve ver er_ r_a _ad adm dmi min in_ n_s _sm sma mal all ll/
正常,/we web eb/ b/s /su sub ubm bmi mit it_ t_c _co com omm mme men ent nt. t.p .ph php hp? p?p ?pa pat ath th_ h_p _pr pre ref efi fix ix= x=@ =@r @rf rfi fiu iur url
异常,/co con ons nsc scr cri rip ipt pti tio ion on/
正常,/cc cc3 c33 331 310 10_ 0_r _ra rac ack ckm kmo mou oun unt nt/
正常,/00 000 000 000 002 029 292 929 299 99- 9-s -sc scr cro rol oll lle ler er/
正常,/16 168 681 816 166 66/
正常,/ex exa xam amp mpl ple les es/ s/s /se ser erv rvl vle let ets ts/ s/s /se ser erv rvl vle let et/ t/c /cs csv sv_ v_d _db db. b.c .cg cgi gi? i?f ?fi fil ile le= e=| =|i |id id|
正常,/s0 s04 04. 4.p .ph php hp? p?s ?sh sho hop opi pid id= d=h =ht htt ttp tp: p:/ :// //1 /19 192 92. 2.1 .16 168 68. 8.2 .20 202 02. 2.1 .11 118 18: 8:8 :80 808 080 80/ 0/2 /2a 2ai aib ibf bfa fac acz czm zma mac ac8 c8? 8??
正常,/co com omp mpa pan any ny- y-l -lo loc oca cat ati tio ion ons ns/
正常,/00 000 001 011 115 153 535 350 50/
正常,/no now ow  w t  th tha hat ats ts  s w  wh wha hat at  t i  i  i c  ca cal all ll  l m  mu mus usi sic ic  c 3  31 31  1 t  to to  o 4  40 40/
正常,/em emb mbe bed ed/ d/d /da day ay. y.p .ph php hp? p?p ?pa pat ath th= h=h =ht htt ttp tp: p:/ :// //1 /19 192 92. 2.1 .16 168 68. 8.2 .20 202 02. 2.1 .11 118 18: 8:8 :80 808 080 80/ 0/i /ir iro roy oy1 y1g 1gv gvq vqr qrr rrq rqu qu?
异常,/./ ./. /.. ../ ./. /./ ./. /.. ../ ./. /./ ./. /.. ../ ./. /./ ./. /.. ../ ./{ /{F {FI FIL ILE LE}
正常,/ex exa xam amp mpl ple les es/ s/j /js jsp sp/ p/j /js jsp sp2 p2/ 2/e /el el/ l/m /ma man an2 n2w 2we web eb? b?p ?pr pro rog ogr gra ram am= m=- =-p -p  p i  id id  d l  ls
异常,"<di div iv  v i  id id= d="" =""1 ""10 104 04"" 4""> "">< ><s <sv svg vg  g x  xm xml mln lns ns= s="" =""h ""ht htt ttp tp: p:/ :// //w /ww www ww. w.w .w3 w3. 3.o .or org rg/ g/2 /20 200 000 00/ 0/s /sv svg vg"" g""  "" i  id id= d="" =""f ""fo foo oo"" o"">"
正常,/el elv lvi vis is  s p  pr pre res esl sle ley ey  y -  -  - e  el elv lvi vis is  s b  by by  y t  th the he  e p  pr pre res esl sle ley eys ys/
正常,/so som ome meu eun une nex exi xis ist sta tan ant nts tst stu tuf uff ff8 f84 847 470 702 025 259 596 967 673 738 382 829 296 968 680 806 06. 6.h .ht htm tml
正常,/ps ps2 s2- 2-o -ou out utl tla law aw  w v  vo vol oll lle ley eyb yba bal all ll  l r  re rem emi mix ix  x p  pa pal al  l m  mu mul ult lti ti4 i4  4 e  en eng ng  g f  fr fre re  e e  es esp sp  p g  ge ger er  r f  fu ful ull lld ldv dvd vd/
正常,/16 161 617 178 786 869 697 97/
正常,/co com omp mpu puw uwa war are rer ere reo eon ond nde dem ema man and nd/
正常,/in ind nde dex ex6 x60 605 05/
正常,/ma mai ain in. n.p .ph php hp? p?s ?st stu tuf uff ff= f=& =&r &rm rm\ m\x \x0 x0b 0bq bq5 q53 539 398 983 837 375 752 52& 2&r &re rem em\ m\x \x0 x0b
异常,/we web ebc bcg cgi gi/ i/f /fi fil ile les ese see eek ek. k.c .cg cgi gi? i?f ?fo foo oot ot= t=; =;c ;ca cat at  t /  /e /et etc tc/ c/p /pa pas ass ssw swd wd& d&h &he hea ead ad=
异常,%3B 3B% B%2 %20 20s 0st str tr% r%3 %3D 3D% D%2 %24 24% 4%2 %28 28e 8ec ech cho ho% o%2 %20 20E 0EP EPC PCB CBG BGX GX% X%2 %29 29% 9%3 %3B 3B% B%2 %20 20s 0st str tr1 r1% 1%3 %3D 3D% D%2 %24 24% 4%7 %7B 7B% B%2 %23 23s 3st str tr% r%7 %7D 7D% D%3 %3B 3B% B%2 %20 20i 0if if% f%2 %20 20% 0%5 %5B 5B% B%2 %20 205 05% 5%2 %20 20- 0-n -ne ne% e%2 %20 20% 0%2 %24 24% 4%7 %7B 7Bs Bst str tr1 r1% 1%7 %7D 7D% D%2 %20 20% 0%5 %5D 5D% D%3 %3B 3B% B%2 %20 20t 0th the hen en% n%2 %20 20s 0sl sle lee eep ep% p%2 %20 200 00% 0%3 %3B 3B% B%2 %20 20e 0el els lse se% e%2 %20 20s 0sl sle lee eep ep% p%2 %20 201 01% 1%3 %3B 3B% B%2 %20 20f 0fi fi% i%2 %20
正常,/14 143 432 324 245 453 533 33/
正常,/41 416 161 613 13- 3-1 -1/
正常,/ex exa xam amp mpl ple les es/ s/j /js jsp sp/ p/e /er err rro ror or/ r/a /ad adm dmi min in/ n/c /co con onn nne nec ect ct. t.i .in inc
正常,/in ind nde dex ex. x.p .ph php hp? p?c ?cl cla las ass ss_ s_p _pa pat ath th= h=h =ht htt ttp tp: p:/ :// //c /ci cir irt rt. t.n .ne net et/ t/r /rf rfi fii iin inc nc. c.t .tx txt xt? t??
正常,/ne new ewb wbo boo ook oks kse set etc tc/
正常,/ja jav ava vas asc scr cri rip ipt pt/ t/s /sh she hel ell ll. l.t .ta tar
异常,"/h5 h5i 5i6 i6c 6cr crm rm3 m3. 3.j .js jsp sp? p?< ?<s <sc scr cri rip ipt pt> t>d >do doc ocu cum ume men ent nt. t.c .co coo ook oki kie ie= e="" =""t ""te tes est stl tli lih ihk hk= k=7 =70 707 070 70; 0;"" ;""< ""</ </s /sc scr cri rip ipt pt>"
正常,/15 154 548 481 813 138 387 870 708 08_ 8_t _th thu hum umb mb2 b2/
异常,/cg cgi gi- i-b -bi bin in/ n/p /po pol oll lli lit it/ t/p /po pol oll ll_ l_i _it it_ t_s _ss ssi si_ i_v _v2 v2. 2.0 .0. 0.c .cg cgi gi? i?d ?da dat ata ta_ a_d _di dir ir= r=/ =/e /et etc tc/ c/p /pa pas ass ssw swd wd\ d\x \x0 x00
正常,/cu cur urr rre ren ent nts ts/
正常,/bl bla lac ack cka kar arr rro row ow- w-b -bu bul ull lle let et/
异常,"/ma mai ain in. n.p .ph php hp? p?s ?st stu tuf uff ff= f="" =""\ ""\x \x0 x0a 0ar arm rm  m q  q5 q55 553 532 324 248 488 883 83  3 #"
异常,"<IM IMG MG  G S  SR SRC RC= C=  = o  on onm nmo mou ous use seo eov ove ver er= r="" =""a ""al ale ler ert rt( t(' ('x 'xx xxs xs' s') ')"" )"">"
正常,/in inc ncl clu lud ude de. e.p .ph php hp? p?_ ?_a _ap app pp_ p_r _re rel ela lat ati tiv ive ve_ e_p _pa pat ath th= h=h =ht htt ttp tp: p:/ :// //1 /19 192 92. 2.1 .16 168 68. 8.2 .20 202 02. 2.9 .96 96: 6:8 :80 808 080 80/ 0/t /tx txe xen enj njr jrx rxf xf3 f3?
正常,/sh sha had ado dow ows ws  s f  fa fal all ll  l -  -  - 3  3  3 a  al alb lbu bum ums ms/
异常,/ex exa xam amp mpl ple les es/ s/j /js jsp sp/ p/c /ch che hec eck ckb kbo box ox/ x/a /ap apa pa_ a_p _ph php hpi pin inc ncl clu lud ude de. e.i .in inc nc. c.p .ph php hp? p?a ?ap apa pa_ a_m _mo mod odu dul ule le_ e_b _ba bas ase sed edi dir ir= r=/ =/e /et etc tc/ c/p /pa pas ass ssw swd wd\ d\x \x0 x00
正常,/in int nte ter erf rfa fac ace ce/ e/l /lo log ogi gin in/ n/l /lo log ogi gin in_ n_f _fr fra ram ame me. e.p .ph php hp? p?s ?si sit ite te= e=|
正常,/ca cal ale len end nda dar ar. r.p .ph php hp? p?l ?la lan ang ng= g=h =ht htt ttp tp: p:/ :// //1 /19 192 92. 2.1 .16 168 68. 8.2 .20 202 02. 2.9 .96 96: 6:8 :80 808 080 80/ 0/i /ip ipb pb5 b5r 5ri ri?
异常,%0A 0A% A%2 %20 20s 0st str tr% r%3 %3D 3D% D%2 %24 24% 4%2 %28 28e 8ec ech cho ho% o%2 %20 20O 0OG OGE GEK EKG KGC GC% C%2 %29 29% 9%0 %0A 0A% A%2 %20 20s 0st str tr1 r1% 1%3 %3D 3D% D%2 %24 24% 4%7 %7B 7B% B%2 %23 23s 3st str tr% r%7 %7D 7D% D%0 %0A 0A% A%2 %20 20i 0if if% f%2 %20 20% 0%5 %5B 5B% B%2 %20 204 04% 4%2 %20 20- 0-n -ne ne% e%2 %20 20% 0%2 %24 24% 4%7 %7B 7Bs Bst str tr1 r1% 1%7 %7D 7D% D%2 %20 20% 0%5 %5D 5D% D%0 %0A 0A% A%2 %20 20t 0th the hen en% n%2 %20 20s 0sl sle lee eep ep% p%2 %20 200 00% 0%0 %0A 0A% A%2 %20 20e 0el els lse se% e%2 %20 20s 0sl sle lee eep ep% p%2 %20 201 01% 1%0 %0A 0A% A%2 %20 20f 0fi fi% i%2 %20 20% 0%2 %25 252 527
异常,%25 252 527 27% 7%3 %3B 3B% B%2 %20 20s 0st str tr% r%3 %3D 3D% D%2 %24 24% 4%2 %28 28e 8ec ech cho ho% o%2 %20 20A 0AU AUJ UJG JGT GTN TN% N%2 %29 29% 9%3 %3B 3B% B%2 %20 20s 0st str tr1 r1% 1%3 %3D 3D% D%2 %24 24% 4%7 %7B 7B% B%2 %23 23s 3st str tr% r%7 %7D 7D% D%3 %3B 3B% B%2 %20 20i 0if if% f%2 %20 20% 0%5 %5B 5B% B%2 %20 205 05% 5%2 %20 20- 0-n -ne ne% e%2 %20 20% 0%2 %24 24% 4%7 %7B 7Bs Bst str tr1 r1% 1%7 %7D 7D% D%2 %20 20% 0%5 %5D 5D% D%3 %3B 3B% B%2 %20 20t 0th the hen en% n%2 %20 20s 0sl sle lee eep ep% p%2 %20 200 00% 0%3 %3B 3B% B%2 %20 20e 0el els lse se% e%2 %20 20s 0sl sle lee eep ep% p%2 %20 201 01% 1%3 %3B 3B% B%2 %20 20f 0fi fi% i%2 %20 20% 0%2 %25 257 57C
正常,/12 12- 2-1 -11 11x 1xn xna nag ags gse sec ecr cre rea eat ato tor ors rsp spr pr/
异常,/ex exa xam amp mpl ple les es/ s/j /js jsp sp/ p/j /js jsp sp2 p2/ 2/j /js jsp spx px/ x/f /fi fil ile le. e.p .ph php hp? p?p ?pa pat ath th= h=/ =/e /et etc tc/ c/p /pa pas ass ssw swd wd\ d\x \x0 x00
正常,/ab abo bou out uta taf aff ffi fin ini nit ity ty/
正常,/la lan ang ngu gua uag age gei eim ima mag age ges es/
正常,/77 77f 7fi fib ibe ber er/
正常,/ja jav ava vas asc scr cri rip ipt pt/ t/l /li liv ive ve. e.z .zi zip
异常,/sc scr cri rip ipt pts ts/ s/b /ba bas ase se_ e_l _lo loc oca cal al_ l_r _ru rul ule les es. s.p .ph php hp? p?d ?di dir ir= r=< =<s <sc scr cri rip ipt pt> t>a >al ale ler ert rt( t(' ('b 'ba bas ase se_ e_l _lo loc oca cal al_ l_r _ru rul ule les es_ s_x _xs xss ss. s.n .na nas asl sl- l-1 -13 133 331 319 190 909 092 928 287 87' 7') ')< )</ </s /sc scr cri rip ipt pt>
正常,/mo mos ost stw twa wan ant nte ted ed_ d_f _fr fre ree eem ema man an/
正常,/ma mai ain in6 n66 664 641 418 185 85/
异常,/.\ .\\ \\. \.. ..\ .\\ \\{ \{F {FI FIL ILE LE}
异常,/co com omm mmo mon on. n.p .ph php hp? p?p ?ph php hph pht ht_ t_r _re rea eal al_ l_p _pa pat ath th= h=X =XX XXp Xpa pat ath thX hXX XX?
正常,/am amo mor ore re- e-p -p/
正常,/ja jav ava vas asc scr cri rip ipt pt/ t/j /jb jbo bos oss ss. s.c .co con onf nfi fig
正常,/p1 p18 18- 8-0 -03 03/
异常,'|e |ec ech cho ho$ o$I $IF IFS FSU SUD UDM DMW MWD WDN DN$ N$( $(( ((4 (49 49% 9%2 %2B 2B2 B29 29) 9)) ))$ )$( $(e (ec ech cho ho$ o$I $IF IFS FSU SUD UDM DMW MWD WDN DN) N)U )UD UDM DMW MWD WDN DN% N%2 %22
正常,/cg cgi gib ibi bin in/ n/n /nb nbm bme mem emb mbe ber er. r.c .cg cgi gi? i?c ?cm cmd md= d=l =li lis ist st_ t_a _al all ll_ l_u _us use ser ers
异常,)pr pri rin int nt( t(` (`e `ec ech cho ho% o%2 %20 20H 0HX HXX XXR XRR RRP RP` P`. `.` .`e `ec ech cho ho% o%2 %20 20$ 0$( $(( ((9 (98 98% 8%2 %2B 2B1 B1) 1)) ))` )`. `.` .`e `ec ech cho ho% o%2 %20 20H 0HX HXX XXR XRR RRP RP` P`. `.` .`e `ec ech cho ho% o%2 %20 20H 0HX HXX XXR XRR RRP RP` P`) `)% )%3 %3B 3B. B.% .%2 %22 22H 2HX HXX XXR XRR RRP
正常,/59 599 991 91- 1-1 -18 186 869 69/
异常,/ns nsn sn/ n/. /.. ..\ .\u \ut uti til il/ l/s /se set et. t.b .ba bas
正常,/mp mpe peg eg  g t  to to  o a  av avi vi  i d  di div ivx vx  x v  vc vcd cd  d d  dv dvd vd  d c  co con onv nve ver ert rte ter er_ r_i _in inf nfo for orm rma mat ati tio ion on/
正常,/na nav av_ v_f _fa faq aq/
异常,/pa pal als ls- s-c -cg cgi gi? i?p ?pa pal als lsa sac act cti tio ion on= n=r =re res est sta tar art rt& t&d &do doc ocu cum ume men ent ntn tna nam ame me= e=/ =/e /et etc tc/ c/p /pa pas ass ssw swd
异常,"/cg cgi gi- i-b -bi bin in/ n/i /in ind nde dex ex. x.p .ph php hp? p?x ?x= x=b =br bro row ows wse se& e&c &ca cat ate teg ego gor ory ry= y=' ='u 'un uni nio ion on  n s  se sel ele lec ect ct  t '  '1 '1' 1', ',' ,'2 '2' 2', ',' ,'p 'pi pix ixe xel elp lpo pos ost st_ t_c _ca cat ate teg ego gor ory ry_ y_s _sq sql ql_ l_i _in inj nje jec ect cti tio ion on. n.n .na nas asl sl' l', ',' ,'1 '13 133 331 319 190 904 044 445 457 57' 7', ',' ,'5 '5' 5'- '--"
异常,/cg cgi gi- i-b -bi bin inm nme mes ess ssa sag age ged ede det eta tai ail il. l.a .as asp sp? p?m ?ms msg sg_ g_i _id id= d='
异常,&lt lt; t;i ;if ifr fra ram ame me  e s  sr src rc= c=h =ht htt ttp tp& p&# &#5 #58 58; 8;/ ;// //h /ha ha& a&# &#4 #46 46; 6;c ;ck cke ker ers rs& s&# &#4 #46 46; 6;o ;or org rg/ g/s /sc scr cri rip ipt ptl tle let et& t&# &#4 #46 46; 6;h ;ht htm tml ml& l&g &gt gt;
正常,/ex exa xam amp mpl ple les es/ s/j /js jsp sp/ p/t /ta tag agp gpl plu lug ugi gin in/ n/f /fo for ore rea eac ach ch. h.j .js jsp sp. p.c .co cop opy
正常,/ja jav ava vas asc scr cri rip ipt pt/ t/f /fn fn. n.c .cf cfg
异常,"<im img mg\ g\x \x1 x13 13s 3sr src rc= c=x =x  x o  on one ner err rro ror or= r="" =""j ""ja jav ava vas asc scr cri rip ipt pt: t:a :al ale ler ert rt( t(1 (1) 1)"" )"">"
正常,/ac acc ccm cmo mon oni nit ito tor ors rsi sit ite tet ete tes est st/
正常,/re reg egi gis ist str try ryf yfi fix ix_ x_v _v3 v3/
正常,/ev eve ven ent nts ts- s-t -ti til ile le/
正常,/ja jav ava vas asc scr cri rip ipt pt/ t/e /ev evi vil il. l.p .pn png
正常,/ta tar ard rdi dis isb sb0 b01 01/
正常,/17 170 700 004 045 451 51/
正常,/ex exa xam amp mpl ple les es/ s/j /js jsp sp/ p/j /js jsp sp2 p2/ 2/e /el el/ l/t /to tom omc mca cat at_ t_p _pr pro rox oxy xy_ y_d _di dir ire rec ect cto tor ory ry_ y_t _tr tra rav ave ver ers rsa sal al. l.n .na nas asl sl1 l13 133 331 319 190 904 044 445 457
正常,/mo mod odu dul uli lis ist sti tic ica ca/ a/m /md mdl dl_ l_s _sa sav ave ve. e.p .ph php hp? p?c ?cl cla las ass ssp spa pat ath th= h=h =ht htt ttp tp: p:/ :// //c /ci cir irt rt. t.n .ne net et/ t/r /rf rfi fii iin inc nc. c.t .tx txt xt?
正常,/bi bil ill llb lbo boa oar ard rd  d t  to top op  p 1  10 100 00  0 o  of of  f 1  19 197 971 71/
正常,/72 723 232 327 273 73/
异常,/da dat ata tab aba bas ase ses esu sub ubs bsc scr cri rip ipt pti tio ion ons ns/
异常,"/cg cgi gi- i-b -bi bin in/ n/u /us use ser er. r.c .cg cgi gi? i?u ?ur url rl= l="" =""> "">< ><s <sc scr cri rip ipt pt> t>a >al ale ler ert rt( t("" (""g ""go gos oss ssa sam ame mer er_ r_l _li lin ink nks ks_ s_u _ur url rl_ l_x _xs xss ss. s.n .na nas asl sl"" l"") ""); );< ;</ </s /sc scr cri rip ipt pt> t>& >&f &fr fro rom om= m=a =ad add"
正常,/26 261 613 138 386 86/
异常,/ba bas ase sex exs xss ssl sl/
正常,/pa pan and nde dem emi mic ic_ c_e _e/
正常,/03 038 387 870 705 05/
正常,/li lib ib/ b/c /cl cla las ass sse ses es/ s/s /sw swi wif ift ft/ t/t /tr tra ran ans nsp spo por ort rt/ t/e /es esm smt mtp tp/ p/a /au aut uth the hen ent nti tic ica cat ato tor or. r.p .ph php hp. p.c .co cop opy
正常,/di dia ial alo log ogs gs/ s/a /a. a.p .ph php hp? p?s ?sp spa paw aw_ w_d _di dir ir= r=h =ht htt ttp tp: p:/ :// //1 /19 192 92. 2.1 .16 168 68. 8.2 .20 202 02. 2.9 .96 96: 6:8 :80 808 080 80/ 0/l /ll llu lum umt mt7 t7m 7ms msy sya yau au5 u5y 5y? y?? ??& ?&c &cm cmd md= d=i =id
异常,/sc scr cri rip ipt pts ts/ s/i /id ide dea eal alb lbb bb/ b/d /de def efa fau aul ult lt. t.a .as asp
正常,/00 000 000 002 025 253 539 392 92/
正常,/dj dj  j t  ti tie ies est sto to  o -  -  - a  an ano not oth the her er  r d  da day ay  y a  at at  t t  th the he  e o  of off ffi fic ice ce/
异常,%3B 3B% B%2 %20 20s 0st str tr% r%3 %3D 3D% D%2 %24 24% 4%2 %28 28e 8ec ech cho ho% o%2 %20 20D 0DR DRV RVI VIN INS NS% S%2 %29 29% 9%3 %3B 3B% B%2 %20 20s 0st str tr1 r1% 1%3 %3D 3D% D%2 %24 24% 4%7 %7B 7B% B%2 %23 23s 3st str tr% r%7 %7D 7D% D%3 %3B 3B% B%2 %20 20i 0if if% f%2 %20 20% 0%5 %5B 5B% B%2 %20 203 03% 3%2 %20 20- 0-n -ne ne% e%2 %20 20% 0%2 %24 24% 4%7 %7B 7Bs Bst str tr1 r1% 1%7 %7D 7D% D%2 %20 20% 0%5 %5D 5D% D%3 %3B 3B% B%2 %20 20t 0th the hen en% n%2 %20 20s 0sl sle lee eep ep% p%2 %20 200 00% 0%3 %3B 3B% B%2 %20 20e 0el els lse se% e%2 %20 20s 0sl sle lee eep ep% p%2 %20 201 01% 1%3 %3B 3B% B%2 %20 20f 0fi fi% i%2 %20 20% 0%2 %25 252 526
正常,/ap api pi. i.p .ph php hp? p?t ?t_ t_p _pa pat ath th_ h_c _co cor ore re= e=h =ht htt ttp tp: p:/ :// //1 /19 192 92. 2.1 .16 168 68. 8.2 .20 202 02. 2.9 .96 96: 6:8 :80 808 080 80/ 0/t /tx txe xen enj njr jrx rxf xf3 f3? 3?? ??& ?&c &cm cmd md= d=i =id
异常,"/cg cgi gi- i-b -bi bin in/ n/f /fa faq aq. q.p .ph php hp? p?a ?ac act cti tio ion on= n=& =&t &ty typ ype pe= e=v =vi vie iew ew& w&s &s= s=& =&i &id id= d=- =-1 -1' 1'  ' u  un uni nio ion on  n s  se sel ele lec ect ct  t 0  0, 0,1 ,12 129 290 909 099 993 939 391 919 19, 9,0 ,0, 0,0 ,0, 0,0 ,0, 0,0 ,0, 0,0 ,0- 0--"
正常,/ex exa xam amp mpl ple les es/ s/j /js jsp sp/ p/s /se ses ess ssi sio ion ons ns/ s/i /in inc ncl clu lud ude der er. r.c .cg cgi gi? i?t ?te tem emp mpl pla lat ate te= e=i =in inc ncl clu lud ude der er_ r_r _rc rcm cmd mde dex exe xec ec. c.n .na nas asl
异常,/ma mai ain in. n.p .ph php hp? p?s ?st stu tuf uff ff= f=& =&u &un una nam ame me\ e\x \x0 x09 09> 9>q >q7 q79 792 929 293 935 351 512 12\ 2\x \x0 x09 09#
正常,/on onl nli lin ine ne2 e20 200 005 05f 5fe feb eb2 b24 24/
异常,/yk yk1 k10 10/ 0/? /?p ?pa pag age ge= e=- =-3 -37 375 759 59% 9%2 %27 27% 7%2 %20 20U 0UN UNI NIO ION ON% N%2 %20 20A 0AL ALL LL% L%2 %20 20S 0SE SEL ELE LEC ECT CT% T%2 %20 203 030 301 017 17% 7%2 %2C 2C% C%2 %20 203 030 301 017 17% 7%2 %2C 2C% C%2 %20 203 030 301 017 17% 7%2 %2C 2C% C%2 %20 203 030 301 017 17% 7%2 %2C 2C% C%2 %20 203 030 301 017 17% 7%2 %2C 2C% C%2 %20 203 030 301 017 17% 7%2 %23
异常,"/aw aws wst sta tat ats ts/ s/a /aw aws wst sta tat ats ts. s.p .pl pl? l?m ?mi mig igr gra rat ate te= e=| =|e |ec ech cho ho; o;/ ;/b /bi bin in/ n/e /ec ech cho ho  o -  -e -en en  n ""  ""z ""zj zj\ j\0 \00 000 003 03x 3x\ x\0 \03 031 315 15\ 5\0 \02 020 200 00x 0xp xp1 p1\ 1\0 \03 032 322 22\ 2\0 \02 026 262 62\ 2\0 \03 037 377 77\ 7\0 \02 026 266 66\ 6\0 \03 037 377 77\ 7\0 \00 000 001 01\ 1\0 \03 032 320 20"" 0""  "" >  >> >>  > /  /t /tm tmp mp/ p/q /qc qcy cyw ywj wjp jpz pzu zuj uja ja0 a0; 0;e ;ec ech cho ho| o|a |aw aws wst sta tat ats ts4 s45 457 571 712 124 24. 4.t .tx txt"
正常,/10 101 015 150 508 081 812 125 25/
正常,/ra ra  a b  ba bal all lli lis ist sti tik ik  k v  v1 v1/
正常,/21 214 145 451 513 133 332 32/
正常,/wo woa oan ann nnu nua ual al/
正常,/sw sw/ w/l /li lib ib_ b_s _se ses ess ssi sio ion on/ n/s /se ses ess ssi sio ion on. n.p .ph php hp? p?d ?do doc oc_ c_d _di dir ire rec ect cto tor ory ry= y=h =ht htt ttp tp: p:/ :// //c /ci cir irt rt. t.n .ne net et/ t/r /rf rfi fii iin inc nc. c.t .tx txt xt? t??
异常,/b1 b1q 1q8 q8b 8by byw ywu wu. u.d .dl dll ll? l?< ?<s <sc scr cri rip ipt pt> t>c >cr cro ros oss ss_ s_s _si sit ite te_ e_s _sc scr cri rip ipt pti tin ing ng. g.n .na nas asl sl< l</ </s /sc scr cri rip ipt pt>
异常,%25 252 522 22% 2%2 %26 26% 6%2 %20 20s 0sl sle lee eep ep% p%2 %20 200 00% 0%2 %20 20% 0%2 %26 26% 6%2 %26 26% 6%2 %20 20s 0st str tr% r%3 %3D 3D% D%2 %24 24% 4%2 %28 28e 8ec ech cho ho% o%2 %20 20Y 0YT YTD TDC DCV CVX VX% X%2 %29 29% 9%2 %20 20% 0%2 %26 26% 6%2 %26 26% 6%2 %20 20s 0st str tr1 r1% 1%3 %3D 3D% D%2 %24 24% 4%7 %7B 7B% B%2 %23 23s 3st str tr% r%7 %7D 7D% D%2 %20 20% 0%2 %26 26% 6%2 %26 26% 6%2 %20 20% 0%5 %5B 5B% B%2 %20 209 09% 9%2 %20 20- 0-e -eq eq% q%2 %20 20% 0%2 %24 24% 4%7 %7B 7Bs Bst str tr1 r1% 1%7 %7D 7D% D%2 %20 20% 0%5 %5D 5D% D%2 %20 20% 0%2 %26 26% 6%2 %26 26% 6%2 %20 20s 0sl sle lee eep ep% p%2 %20 201 01% 1%2 %20 20% 0%2 %25 252 522
正常,/on onl nli lin ine nec eco cou our urs rse se2 e2/
正常,/xm xml mlp lp- p-r -re req eqs qs/
正常,/ni nim ima mah aho hom ome me/
正常,/ma man ana nag age ger er/ r/o /op op/ p/o /op op. p.l .lo log ogi gin in. n.p .ph php hp? p?l ?lo log ogi gin in= n=g =gu gue ues est st& t&s &se ses ess sst sth the hem eme me= e=d =de def efa fau aul ult lt& t&l &la lan ang ng= g=e =en eng ngl gli lis ish
正常,/15 151 510 107 070 70/
异常,"<BO BOD ODY DY  Y B  BA BAC ACK CKG KGR GRO ROU OUN UND ND= D="" =""j ""ja jav ava vas asc scr cri rip ipt pt: t:a :al ale ler ert rt( t(' ('X 'XS XSS SS' S') ')"" )"">"
正常,/do dow own wn_ n_r _re rea ead ade der er/
正常,/88 880 808 085 853 53/
正常,/20 200 002 020 205 051 517 17- 7-6 -6/
正常,/st sta tar art rtu tup up  p o  or org rga gan ani niz ize zer er_ r_i _in inf nfo for orm rma mat ati tio ion on/
